time,p_flow
1403,718
1404,733
1405,746
1406,730
1407,709
1408,711
1409,965
1410,826
1411,824
1412,903
1413,904
1414,917
1415,1094
1416,1212
1417,1830
1418,2329
1419,2752
1420,3004
1421,2754
1422,2850
1423,2203
1424,1728
1425,1734
1426,1293
1427,1119
1428,1006
1429,1009
1430,978
1431,783
1432,802
1433,889
1434,836
1435,787
1436,641
1437,602
1438,202
1439,35
1440,0
1441,8
1442,29
1443,154
1444,108
1445,260
1446,271
1447,345
1448,453
1449,687
1450,945
1451,1229
1452,1757
1453,1713
1454,1509
1455,1509
1456,1028
1457,799
1458,681
1459,622
1460,643
1461,683
1462,595
1463,543
1464,540
1465,511
1466,481
1467,536
1468,510
1469,502
1470,500
1471,561
1472,676
1473,596
1474,656
1475,616
1476,605
1477,594
1478,613
1479,628
1480,561
1481,839
1482,579
1483,805
1484,683
1485,808
1486,841
1487,882
1488,1052
1489,1765
1490,2255
1491,2617
1492,2955
1493,2937
1494,3102
1495,2168
1496,1726
1497,1570
1498,1170
1499,924
1500,781
1501,833
1502,745
1503,763
1504,702
1505,640
1506,534
1507,495
1508,564
1509,353
1510,127
1511,9
1512,0
1513,7
1514,21
1515,109
1516,91
1517,181
1518,200
1519,354
1520,480
1521,651
1522,899
1523,1057
1524,1401
1525,1554
1526,1869
1527,1301
1528,998
1529,933
1530,662
1531,606
1532,552
1533,685
1534,592
1535,645
1536,603
1537,477
1538,535
1539,574
1540,517
1541,532
1542,624
1543,491
1544,733
1545,622
1546,616
1547,604
1548,609
1549,572
1550,661
1551,675
1552,561
1553,829
1554,683
1555,645
1556,681
1557,758
1558,842
1559,973
1560,1287
1561,1827
1562,2346
1563,2359
1564,2904
1565,2825
1566,2811
1567,2152
1568,1695
1569,1605
1570,1172
1571,1069
1572,887
1573,831
1574,826
1575,808
1576,782
1577,703
1578,727
1579,564
1580,457
1581,410
1582,148
1583,18
1584,0
1585,6
1586,24
1587,121
1588,102
1589,204
1590,196
1591,334
1592,488
1593,603
1594,878
1595,1166
1596,1360
1597,1633
1598,1929
1599,1374
1600,1040
1601,806
1602,658
1603,615
1604,597
1605,703
1606,593
1607,534
1608,517
1609,527
1610,527
1611,531
1612,575
1613,556
1614,689
1615,654
1616,711
1617,705
1618,657
1619,604
1620,626
1621,647
1622,667
1623,648
1624,614
1625,898
1626,694
1627,716
1628,695
1629,763
1630,857
1631,979
1632,1324
1633,1931
1634,2381
1635,2651
1636,2837
1637,2786
1638,2804
1639,2204
1640,1627
1641,1673
1642,1187
1643,1043
1644,859
1645,926
1646,892
1647,789
1648,831
1649,828
1650,732
1651,680
1652,611
1653,437
1654,153
1655,16
1656,2
1657,9
1658,26
1659,109
1660,104
1661,173
1662,244
1663,325
1664,444
1665,706
1666,880
1667,1033
1668,1599
1669,1618
1670,1906
1671,1278
1672,986
1673,870
1674,744
1675,690
1676,698
1677,694
1678,622
1679,602
1680,528
1681,527
1682,540
1683,566
1684,569
1685,623
1686,639
1687,701
1688,766
1689,709
1690,759
1691,737
1692,718
1693,699
1694,661
1695,633
1696,604
1697,881
1698,630
1699,745
1700,749
1701,831
1702,853
1703,1024
1704,1409
1705,2013
1706,2216
1707,2358
